CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
San Diego,Waterfront Park outside the San Diego County Administration Center at 1600 Pacific Highway,CA,US,2017-07-02,150 counterprotesters; Only a handful of 45 supporters,45,,150,,,Proud Boys; general protestors,Counter-protest the Impeachment March,2,march; protest,0,0,0,0,0,1,http://fox5sandiego.com/2017/07/02/san-diego-protesters-call-for-impeachment-of-trump/,http://www.sandiegouniontribune.com/communities/north-county/sd-me-trump-protest-20170702-story.html,,,,,
Marshfield,from Marshfield to Stratford,WI,US,2017-07-10,about 45,45,,45,,,Honor the Earth; Ho-Chunk tribe,Oppose Canadian tar sands pipeline,1,demonstration,0,0,0,0,1,1,http://www.wisconsinrapidstribune.com/story/news/local/wisconsin/2017/07/11/horse-mounted-protesters-ride-wisconsin-route-canadian-tar-sands-pipeline/469618001/,http://www.wausaudailyherald.com/story/news/local/wisconsin/2017/07/11/horse-mounted-protesters-ride-wisconsin-route-canadian-tar-sands-pipeline/469618001/,,,,,
St. Louis,"Sen Blunt's office, Clayton ",MO,US,2017-07-06,facebook: 41 went,41,,41,,,"Resist-STL, Democratic Socialists of MO",Against GOP healthcare,1,protest,5,0,0,0,1,1,https://www.facebook.com/search/str/roy%2Bblunt%2Bsit%2Bin/stories-keyword/stories-public?esd=eyJlc2lkIjoiUzpfSTQ1MDMyOTQ2ODUwMDM5NDo2OTg4MTExOTAzMTg4ODYiLCJwc2lkIjp7IjQ1MDMyOTQ2ODUwMDM5NDo2OTg4MTExOTAzMTg4ODYiOiJVenBmU1RRMU1ETXlPVFEyT0RVd01ETTVORG8yT1RnNE1URXhPVEF6TVRnNE9EWT0iLCIyOTgwMjk2NTY5MTk0NDc6MTQ3ODcxNDA0MjE4NDMzMCI6IlV6cGZTVEk1T0RBeU9UWTFOamt4T1RRME56b3hORGM0TnpFME1EUXlNVGcwTXpNdyJ9LCJjcmN0IjoidGV4dCIsImNzaWQiOiJiNGE0YjkyMGVmOTg3Y2QwNDBlZTFmN2U2ZmQwNjg0MCJ9,https://www.facebook.com/events/316628482123209/?acontext=%7B%22action_history%22%3A%22null%22%7D,,,,,
Detroit,Hart Plaza to around Campus Martius,MI,US,2017-07-02,about 50; about 40,40,,50,,,Metro-Detroit Political Action Network,Impeach Trump,1,march,0,0,0,0,1,1,http://www.freep.com/story/news/local/michigan/detroit/2017/07/02/detroit-donald-trump-impeachment/446596001/,,,,,,
Langley,Edgecliff Drive,WA,US,2017-07-02,Around 40,40,,40,,,South Whidbey residents,Impeach Trump,1,demonstration,0,0,0,0,1,1,http://www.southwhidbeyrecord.com/news/forty-people-participate-in-demonstration-calling-for-president-trumps-impeachment/,,,,,,
Richmond,outside state capitol; city hall,VA,US,2017-07-07,about 40,40,,40,,,general protestors,Petition state officials to remove an allegedly racist judge,0,protest,0,0,0,0,1,1,http://www.richmond.com/news/local/central-virginia/powhatan/powhatan-today/family-of-powhatan-man-stabbed-in-the-head-leads-march/article_25b50ca0-66b0-11e7-a563-47205b952baf.html,,,,,,
Lake Zurich,Downtown,IL,US,2017-07-11,about 40,40,,40,,,Pro-Life Action League,Protesting abortion,0,protest,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/lake-zurich/news/ct-bcr-pro-life-rally-tl-0713-20170711-story.html,,,,,,
Athens,University of Georgia,GA,US,2017-07-12,around 40,40,,40,,,general protestors,Against GOP healthcare bill,1,protest,0,0,0,0,1,1,http://www.redandblack.com/athensnews/rally-for-callie-athenians-protest-medicaid-cuts-at-the-arch/article_82cc3362-6838-11e7-9282-5394e4852b45.html,,,,,,
Denver,Denver Airport,CO,US,2017-07-12,scores,40,,40,,,Airport employees,Protesting working conditions,0,protest; strike,0,0,0,0,1,1,http://www.9news.com/travel/dia-protests-may-impact-flights/455998671,,,,,,
Los Angeles,Outside County Sherriff's office,CA,US,2017-07-13,about 40,40,,40,,,Democratic Socialists of America,Protesting sherriff and asking him to support sanctuary city,1,protest,0,0,0,0,1,1,http://www.latimes.com/local/california/la-me-sheriff-sanctuary-protest-20170713-story.html,,,,,,
Merced,From UC Merced to Merced Police Department,CA,US,2017-07-13,scores,40,,40,,,general protestors,"Oppose arrests of 5 people at hookah lounge, racist police",0,protest,0,0,0,0,1,1,http://www.mercedsunstar.com/news/article161310918.html,http://www.mercedsunstar.com/news/local/article161294338.html,http://www.mercedsunstar.com/news/article161310918.html,,,,
Fort Wayne,Outside government buildings,IN,US,2017-07-18,about 40,40,,40,,,Indivisible; Fort Wayne Liberation Movement; United Activists of Fort Wayne,Against GOP healthcare bill,1,protest; die-in,0,0,0,0,1,1,http://www.journalgazette.net/news/local/20170719/activists-stage-die-in-to-protest-health-bill,,,,,,
Paterson,City Council building,NJ,US,2017-07-18,more than 40,40,,40,,,general protestors,Oppose city crackdown on murals that pay tribute to crime victims,0,protest,0,0,0,0,1,1,http://www.northjersey.com/story/news/paterson-press/2017/07/19/paterson-council-opposes-citys-crackdown-murals/491649001/,,,,,,
Minneapolis,City Hall,MO,US,2017-07-21,about 40; about 100,40,,100,,,general protestors,Demand resignation of police chief and mayor after fatal police shooting,0,protest,0,0,0,0,0,1,http://www.startribune.com/minneapolis-police-chief-janee-harteau-resigns/435864713/,http://www.mndaily.com/article/2017/07/protests-city-hall-minneapolis-police-chief-resign,https://www.mprnews.org/story/2017/07/21/mpls-council-members-want-harteau-out,,,,
Perris,outside the Riverside County Sheriff’s station,CA,US,2017-07-22,about 40,40,,40,,,organizer Citlalli Anahuac,Oppose police brutality,0,protest,0,0,0,0,1,1,http://www.dailybulletin.com/general-news/20170722/dozens-protest-in-support-of-flower-lady-in-perris,http://www.pe.com/2017/07/22/dozens-protest-in-support-of-flower-lady-in-perris/,,,,,
Cincinnati,Newport Southbank Bridge,OH,US,2017-07-24,about 40,40,,40,,,Black Lives Matter: Cincinnati,Oppose dismissal of charges against a white police officer who killed an unarmed black motorist,0,march,0,0,0,0,0,1,http://www.live5news.com/story/35955761/the-latest-groups-rally-for-ex-cop-slain-motorist-in-ohio,http://www.journal-news.com/news/local/the-latest-groups-rally-for-cop-slain-motorist-ohio/NbL8xTbDCKfS7z9T2NMMRI/,http://www.cincinnati.com/story/news/2017/07/24/march-ray-tensing-take-place-monday-night/506050001/,,,,
Conroe,Outside Montgomery County Commissioners Court,TX,US,2017-07-25,more than 40,40,,40,,,general protestors,Protesting vote to expand immigration detention facility,1,protest,0,0,0,0,1,1,https://www.houstoniamag.com/articles/2017/7/25/conroe-residents-protest-expansion-of-immigration-detention-facility,,,,,,
Pittsburgh,outside of Pennsylvania House Speaker Mike Turzai’s office,PA,US,2017-07-25,about 40,40,,40,,,general protestors,Demand solution to balance the state budget,0,protest,0,0,0,0,1,1,https://www.pghcitypaper.com/PolitiCrap/archives/2017/07/25/protesters-and-north-hills-constituents-rally-outside-of-pennsylvania-house-speaker-mike-turzais-office-ask-for-a-solution-to-balance-the-st,https://www.pghcitypaper.com/PolitiCrap/archives/2017/07/25/protesters-and-north-hills-constituents-rally-outside-of-pennsylvania-house-speaker-mike-turzais-office-ask-for-a-solution-to-balance-the-st,,,,,
Ithaca,Ithaca Commons,NY,US,2017-07-26,more than 40,40,,40,,,Planned Parenthood supporters,Against repealing the ACA,1,protest,0,0,0,0,1,1,https://ithacavoice.com/2017/07/planned-parenthood-supporters-freeze-ithaca-commons-protest-trumpcare/,,,,,,
Hartford,St. Francis Hospital,CT,US,2017-07-27,scores,40,,40,,,Mothers United Against Violence,Rally for woman hit by car,0,rally,0,0,0,0,0,1,http://www.courant.com/community/hartford/hc-sigourney-vigil-20170726-story.html,,,,,,
Fargo,Sen. Hoeven's office,ND,US,2017-07-28,about 40,40,,40,,,Democratic state Sen. Tim Mathern,Oppose repealing the ACA,1,protest,0,0,0,0,1,1,http://www.inforum.com/news/4304740-downtown-fargo-rally-puts-pressure-senator-health-care-vote,http://www.westfargopioneer.com/news/4304740-downtown-fargo-rally-puts-pressure-senator-health-care-vote,,,,,
Stauton,Augusta County Courthouse,VA,US,2017-07-29,about 40,40,,40,,,organizer Jennifer Lewis,Support for transgender rights and healthcare for all,1,rally,0,0,0,0,1,1,http://www.newsleader.com/story/news/local/2017/07/28/transgender-rights-military-and-healthcare-rally-augusta-county-courthouse-staunton/518930001/,http://www.newsleader.com/story/news/local/2017/07/29/citizens-rally-transgender-rights-staunton/522585001/,http://www.whsv.com/content/news/People-rally-in-Staunton-in-support-of-transgender-rights--437402693.html,,,,
Greensboro,outside the U.S. Middle District Courthouse,NC,US,2017-07-31,more than 40,40,,40,,,Scuffletown Anti-represssion Committee,Support local anarchist activist facing a grand jury subpoena,1,protest,0,0,0,0,1,1,http://www.greensboro.com/news/crime/greensboro-protesters-fight-against-federal-grand-jury-subpoena-of-durham/article_4513fa25-e081-5178-a26f-69a59cdecc1c.html,http://www.greensboro.com/gnr/grand-jury-subpoena-protest/collection_4ecb498f-4d3f-5d47-aa19-3ed58f446df2.html,http://www.greensboro.com/news/local_news/protesters-in-greensboro-rally-against-federal-grand-jury-subpoena-of/article_4513fa25-e081-5178-a26f-69a59cdecc1c.html,,,,
State College,Penn State campus,PA,US,2017-07-31,about 40,40,,40,,,general protestors,Oppose Toll Brothers’ proposed student housing development,0,protest,0,0,0,0,1,1,http://www.centredaily.com/news/local/article164639057.html,,,,,,
Los Angeles,outside Los Angeles Police Department headquarters,CA,US,2017-07-02,three to four dozen; dozens,36,,48,,,general protestors,Pro-Trump counter-protest,2,protest,0,0,0,0,0,1,http://www.latimes.com/local/lanow/la-me-ln-impeachment-march-20170702-story.html,http://www.nbclosangeles.com/news/local/Thousands-Gather-in-Downtown-Los-Angeles-Calling-for-Impeachment-of-President-Trump-432164663.html,http://www.dailynews.com/general-news/20170702/trump-impeachment-march-takes-over-pershing-square-in-la,,,,
New Haven,New Haven Green,CT,US,2017-07-08,three to four dozen,36,,48,,,Counter protestors,Counter protect Proud Boys,1,protest,4,(see above),"1 (total, unrelated)",0,0,1,http://wtnh.com/2017/07/08/multiple-people-arrested-following-demonstration-in-new-haven/,https://docs.google.com/spreadsheets/d/12ddBna-4qVSAuEPmgvRs5LAL1dSXyJh0y8gJZVwtPwA/edit?ts=595a60a1#gid=0,http://www.nhregister.com/general-news/20170710/four-arrested-in-chaotic-weekend-demonstration-on-new-haven-green,,,,
Rocky Mount,Southeast Rocky Mount,NC,US,2017-07-08,about three dozen,36,,36,,,Southeast Rocky Mount Community Organization; N.C. Association of Community Development Corporations,Community Unity Day to raise awareness of housing needs,0,march,0,0,0,0,1,1,http://www.rockymounttelegram.com/News/2017/07/09/Residents-march-to-raise-awareness-of-housing-needs.html,,,,,,
Columbia,Outside office of Rep. Hartzler,MO,US,2017-07-27,more than three dozen,36,,36,,,Democratic congressional candidate Renee Hoagenson,"Oppose Trump's transgender military ban; campaign rally for Renee Hoagenson, a Democratic candidate for Missouri's 4th congressional district",1,protest,0,0,0,0,1,1,http://www.columbiamissourian.com/news/local/transgender-support-rally-held-in-columbia-by-congressional-candidate/article_810459c6-7303-11e7-89d1-a38a1c032ffd.html,,,,,,
Lima,from Bradfield Community Center and South Elementary School to the Allen County Court House and Town Square,OH,US,2017-07-20,about 35,35,,35,,,Lima Area Freedom School program,Children’s Defense Fund’s 2017 National Day of Social Action,1,march,0,0,0,0,1,1,http://limaohio.com/news/252412/children-march-through-lima-protest-potential-budget-cuts,,,,,,
Cocoa,Cocoa Village Park,FL,US,2017-07-02,Facebook: 31 went,31,,31,,,general protestors,Impeach Trump,1,march; protest,,,,,1,1,https://www.facebook.com/events/316035345503672/,,,,,,
Seattle,Seattle Federal Building,WA,US,2017-07-11,Facebook: 31 went,31,,31,,,Indivisible Seattle,against climate change; resist Trump,1,rally,,,,,1,1,https://www.facebook.com/events/439323156441708,,,,,,
Birmingham,from Kelly Ingram park to City Hall,AL,US,2017-07-01,NA,30,,30,,,Adelante Alabama Worker Center,Support sanctuary city ordinance,1,march,0,0,0,0,1,1,http://www.al.com/news/birmingham/index.ssf/2017/07/birmingham_group_marches_throu.html,,,Count from picture,,,
Clearwater,Pinellas County,FL,US,2017-07-02,about 30; dozens,30,,30,,,general protestors,Pro-Trump,2,"Rally; ""drive""",,,,,0,1,http://www.fox13news.com/news/local-news/265376647-story,,,,,,
Davenport,Lafayette Park to Schwiebert Riverfront Park,IA,US,2017-07-02,NA,30,,30,,,general protestors,Impeach Trump,1,march,0,0,0,0,1,1,http://qctimes.com/news/local/thirty-march-to-encourage-impeachment-of-president-trump/article_7fde20c2-ffda-5c91-8a35-2fbea86321ae.html,,,,,,
Long Island,Routes 112 & 347 Port Jefferson Station,NY,US,2017-07-02,Facebook: 30 went,30,,30,,,Long Island Rising,Impeach Trump,1,march; protest,,,,,1,1,https://www.facebook.com/events/799276386908597/,,,,,,
Quad Cities,Centennial Bridge to Schwiebert Park in Rock Island,IA/IL,US,2017-07-02,About 30,30,,30,,,Rock Island County Indivisible,Impeach Trump,1,,,,,,1,1,https://www.facebook.com/events/446556462367500/,http://www.qconline.com/news/local/q-c-group-joins-nationwide-trump-impeachment-marches/article_22c0f9ef-9032-5e14-97c0-6f957455c244.html,,,,,
Cincinnati,Sen. Portman's office,OH,US,2017-07-06,about 30,30,,30,,,Democratic Socialists of America; Socialist Alternative,Oppose ACA repeal,1,protest; sit-in,0,0,0,0,1,1,http://www.cincinnati.com/story/news/local/2017/07/07/protesters-occupy-portmans-cincinnati-office-refuse-leave/457722001/,http://www.cnn.com/2017/07/07/politics/rob-portman-heath-care-protests-cincinnati-columbus/index.html,http://www.cincinnati.com/story/news/local/2017/07/07/protesters-occupy-portmans-cincinnati-office-refuse-leave/457722001/,,,,
Cumberland,Sen. Isakson's office,GA,US,2017-07-06,about 30,30,,30,,,Democracy Spring Georgia,Against GOP healthcare bill,1,protest,0,0,0,0,1,1,http://www.mdjonline.com/news/georgians-protest-health-care-bill-outside-isakson-s-office/article_88509422-62b6-11e7-a4f6-034f65e41ede.html,,,,,,
Portland,East Side federal complex,OR,US,2017-07-06,NA,30,,30,,,"Oregon Sen. Ron Wyden, Rep. Suzanne Bonamici and Sen. Jeff Merkley",Against GOP healthcare,1,rally,0,0,0,0,1,1,http://www.oregonlive.com/portland/index.ssf/2017/07/oregon_politicians_host_rally_a.html,,,Count from picture,,,
Pisgah Forest,outside Hawg Wild restaurant,NC,US,2017-07-07,NA,30,,30,,,Transylvania County chapter of the NAACP,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://wlos.com/news/local/transylvania-county-naacp-holds-healthcare-protest-at-mark-meadows-private-fundraiser,,,Count from picture,,,
Charlottesville,Justice Park,VA,US,2017-07-08,50; about 60; about 30,30,,60,,,Loyal White Knights of the KKK,Oppose removal of confederate statue,2,rally,0,3,0,0,1,1,http://www.dailyprogress.com/news/local/kkk-begins-protest-at-justice-park/article_f13cde22-6415-11e7-9756-c3a385058998.html,http://wjla.com/news/local/kkk-rally-in-va-to-protest-confederate-statue-removal-over-1000-rally-to-protest-kkk,http://www.cbsnews.com/news/at-virginia-kkk-rally-counter-protesters-show-up-in-droves/,https://twitter.com/loisbeckett/status/883829267435487232,http://www.newsleader.com/story/news/local/2017/07/08/live-protesters-face-off-charlottesville-over-kkk-rally/461954001/,http://www.nola.com/national_politics/2017/07/ku_klux_klan_rally_attracts_la.html,
Isle,Mille Lacs Lake,MN,US,2017-07-08,at least 30; about 75,30,,75,,,general protestors,Protesting Gov. Dayton's ban on walleye fishing,0,protest,0,0,0,0,1,1,http://www.kare11.com/news/protesters-to-greet-dayton-when-he-fishes-on-mille-lacs-lake/454922144,http://minnesota.cbslocal.com/2017/07/08/dayton-mille-lacs-walleye-ban-protests/,http://www.postbulletin.com/news/state/gov-scraps-meeting-with-mille-lacs-businesses-after-protest/article_756d7017-ceb4-5302-9d31-ad843dd58c08.html,http://www.startribune.com/dayton-cancels-meeting-with-mille-lacs-area-businesses-after-protest/433351373/,http://www.foxnews.com/us/2017/07/09/minnesota-governors-boat-circled-by-protesters-after-temporary-ban-on-walleye-fishing.html,,
Charlotte,Da Lucky Spot Barbershop,NC,US,2017-07-09,NA,30,,30,,,local community members,peace rally promoting unity after 49 homicides so far this year,0,rally,0,0,0,0,1,1,http://www.wcnc.com/news/local/rally-promotes-unity-across-clt_/455373200,,,Estimate from picture,,,
St. Paul,outside the Whipple Federal Building,MN,US,2017-07-10,more than 30,30,,30,,,Minnesota Immigrant Rights Action Committee; Communities United Against Police Brutality,Oppose deportation of Ariel Vences-Lopez,1,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2017/7/10/immigration-judge-delays-decision-bond-ariel-vences-lopez-supporters-rally,,,,,,
Pottstown,Pottstown Memorial Medical Center,PA,US,2017-07-12,about 40; about 30,30,,40,,,Pennsylvania Association of Staff Nurses and Allied Professionals,improve working conditions and patient care,0,rally,0,0,0,0,1,1,http://www.readingeagle.com/news/article/nurses-union-rallies-at--pottstown-memorial-medical-center,http://www.pottsmerc.com/business/20170712/pmmc-nurses-rally-to-start-a-dialog-with-reading-health-system,,,,,
Brookfield,Brookfield Center Green,OH,US,2017-07-13,more than 30,30,,30,,,area residents,against proposed fracking injection well site,0,protest,0,0,0,0,1,1,https://www.tribtoday.com/news/local-news/2017/07/residents-protest-injection-wells/,,,,,,
Bedminster,Clarence Dillon Public Library,NJ,US,2017-07-15,about 30,30,,30,,,UltraViolet; NJ Working Families Alliance; We the People NJ-07,Oppose Trump National Golf Club hosting U.S. Women's Open,1,protest,0,0,0,0,1,1,http://www.nj.com/somerset/index.ssf/2017/07/trump_supporters_protesters_face_off_at_rally_in_n.html,http://www.nbc-2.com/story/35893546/top-golfers-trump-and-protesters-come-out-to-bedminister-for-us-womens-open,http://www.mycentraljersey.com/story/news/local/somerset-county/hot-topic/2017/07/15/womens-open-brings-anti-and-pro-trump-rallies-bedminster/479707001/,,,,
Salem,state capitol,OR,US,2017-07-15,roughly 30,30,,30,,,Western Patriot,Make Oregon Safe Again,2,rally,0,0,0,0,1,1,http://www.statesmanjournal.com/story/news/2017/07/16/sal-pro-trump-rally-capitol/482175001/,,,,,,
Jacksonville,Bruce Park,FL,US,2017-07-17,around 30,30,,30,,,general protestors,Against police crimes and police/community relations,0,protest,0,0,0,0,1,1,https://www.fightbacknews.org/2017/7/17/jacksonville-speaks-out-against-jso-police-crimes,,,,,,
Harlingen,outside of the Texas State Technical College Cultural Arts Center,TX,US,2017-07-20,more than 30,30,,30,,,LUPE,Education Not Deportation,1,protest,0,0,0,0,1,1,http://www.brownsvilleherald.com/news/valley/article_aa2fd9dc-6dc3-11e7-b02b-db9ae9c74ae1.html,http://www.themonitor.com/news/local/article_9d778728-6dbc-11e7-914a-83c9e7ab391c.html,http://www.valleymorningstar.com/news/local_news/article_e4f82034-6dc7-11e7-adef-b3040355a5e5.html,,,,
Atlanta,Outside CNN headquarters,GA,US,2017-07-22,about 30,30,,30,,,Media Equality Project,"Protesting CNN's ""biased"" Trump coverage",2,protest,0,0,0,0,1,1,http://thehill.com/media/342818-conservative-groups-plan-protest-at-cnn-headquarters,http://www.ajc.com/news/atlanta-group-protests-cnn-coverage-trump/k94ylzDMiRHkAtNqaSKn8M/,,,,,
Hopkinsville,from the Hopkinsville Democrats office to the Downtown Farmers Market and back,KY,US,2017-07-22,abput 30,30,,30,,,Hopkinsville Young Democrats,March for Public Education,1,march,0,0,0,0,1,1,http://www.kentuckynewera.com/news/article_8c582006-7023-11e7-8508-a77054aaa841.html,,,,,,
Martinsburg,Outside Relax Inn,WV,US,2017-07-22,over 30,30,,30,,,organizer Tara Dawn Ortiz,Oppose drug use and prostitution at local motels,0,rally,0,0,0,0,1,1,http://www.journal-news.net/news/local-news/2017/07/peaceful-protest-scheduled-for-local-hotel/,http://www.journal-news.net/news/local-news/2017/07/enough-residents-protest-motel-crime/,http://www.journal-news.net/news/local-news/2017/07/peaceful-protest-scheduled-for-local-hotel/,,,,
Newton,Newton Green,MA,US,2017-07-22,about 30,30,,30,,,general protestors,National March for Public Education,1,rally; protest,0,0,0,0,1,1,http://www.njherald.com/20170723/newton-green-rally-supports-public-school-education#,,,,,,
Scranton,Lackawanna County Courthouse Square,PA,US,2017-07-23,about 30,30,,30,,,Fair Districts PA,Protesting gerrymandering,0,rally,0,0,0,0,1,1,http://thetimes-tribune.com/news/rally-targets-gerrymandering-1.2222291,http://citizensvoice.com/news/scranton-rally-takes-aim-at-gerrymandering-1.2222316,,,,,
Omaha,Dundee Elementary,NE,US,2017-07-26,NA,30,,30,,,"concerned neighbors, parents, and students",Oppose removal of crosswalk signals,0,rally; protest,0,0,0,0,1,1,http://www.omaha.com/news/metro/dundee-residents-protest-city-s-plan-to-remove-crosswalk-signals/article_07398072-724e-11e7-bdff-07d7aa9a3c27.html,,,Estimate from video,,,
Santa Clarita,Downtown,CA,US,2017-07-26,about 30,30,,30,,,CA25 United for Progress; Women’s Initiative Network; SCV Young Democrats; Democratic Alliance for Action,Oppose repealing the ACA,1,protest,0,0,0,0,1,1,https://signalscv.com/2017/07/26/groups-rally-continue-health-care-conversation/,,,,,,
Pensacola,MLK Jr. Plaza,FL,US,2017-07-30,around 30,30,,30,,,Gay Grassroots Northwest Florida,We Support Trans Troops and Veterans Rally,1,rally,0,0,0,0,1,1,http://www.pnj.com/picture-gallery/news/2017/07/30/dozens-show-up-for-local-trans-troop-support-rally/104145118/,,,,,,
Albert Lea,Freeborn County Jail,MN,US,2017-07-09,NA,26,,26,,,Minnesota Immigrant Rights Action Committee; Unlawful Assembly,Oppose county's contract with ICE,1,demonstration,0,0,0,0,1,1,http://www.fightbacknews.org/2017/7/12/music-demonstration-solidarity-ice-detainees-freeborn-county-mn,,,Count from picture,,,
St. Louis,Luther Ely Smith Square,MO,US,2017-07-02,NA,25,,25,,,PDA Pinellas,Impeach Trump,1,,,,,,1,1,https://www.facebook.com/events/1104979276268917/,,,,,,
Westfield,outside Congressman Leonard Lance's office,NJ,US,2017-07-05,about 25,25,,25,,,Westfield 20/20; New Jersey Working Families Alliance,"Demand Rep. Lance denounce President Donald Trump’s executive orders, mistreatment of women and healthcare plan",1,protest,0,0,0,0,1,1,https://www.tapinto.net/towns/westfield/articles/congressman-lance-speaks-with-country-before-par,,,,,,
Goldboro,Board of Elections office on South William Street to Hollowell Street,NC,US,2017-07-08,NA,25,,25,,,Impact Teens Goldsboro,"call attention to violence in the community, particularly that directed against youths",0,march,0,0,0,0,1,1,http://www.newsargus.com/news/archives/2017/07/09/peace_march_held/,,,,,,
Colorado Springs,Acacia Park,CO,US,2017-07-28,NA,25,,50,,,Unite Colorado Springs,Oppose Trump's transgender military ban,1,rally,0,0,0,0,1,1,http://www.koaa.com/story/35993570/transgender-military-rights-rally-in-colorado-springs,http://fox21news.com/2017/07/29/local-community-rallies-for-transgender-military-rights/,,estimate from video,,,
Columbus,down 10th Street,OH,US,2017-07-29,about 25,25,,25,,,Indivisibe Columbus,Rally & March to Protect Medicare & Medicaid,1,rally; march,0,0,0,0,1,1,http://www.ledger-enquirer.com/news/local/article164371462.html,,,,,,
Henderson,Davis Street,NC,US,2017-07-29,NA,25,,50,,,general protestors,March for peace and justice,0,march,0,0,0,0,1,1,http://www.hendersondispatch.com/news/a-march-for-peace-and-justice/article_20e3ff09-807b-55a0-9458-7ef445dd2584.html,,,Estimate from picture,,,
Lehi,,UT,US,2017-07-29,NA,25,,50,,,Sen. Ted Cruz,Campaign rally for support former state representative Chris Herrod's bid for Congress,2,rally,0,0,0,0,1,1,https://www.ksl.com/?sid=45216703&nid=148,http://www.deseretnews.com/article/865685735/Sen-Ted-Cruz-rallies-Utahns-to-vote-for-Chris-Herrod-a-true-conservative.html,http://www.sltrib.com/news/5555172-155/ted-cruz-in-utah-to-rally,Estimate from pictures,,,
Gettysburg,Gettysburg National Military Park,PA,US,2017-07-01,Dozens; a few hundred,24,,200,,,"armed militia group members, Sons of Confederate Veterans, Ku Klux Klaners, supporters of President Donald Trump, and other self-described patriots","""First Amendment"" rally",2,rally,0,1,0,0,1,1,http://www.huffingtonpost.com/entry/gettysburg-confederate-rally-kkk-antifa_us_59592bd8e4b05c37bb7f0ca4?knj&ncid=inblnkushpmg00000009,http://wsav.com/ap/man-accidentally-shoots-self-in-leg-at-gettysburg-park-rally/,http://www.delmarvanow.com/story/news/nation-now/2017/07/01/man-accidentally-shoots-himself-gettysburg-park-rally/446142001/,http://www.independent.co.uk/news/world-0/man-benjamin-hornberger-shoot-himself-mistake-anti-fascism-rally-counter-protest-gettysburg-us-a7820521.html,,,
Asheville,Lake Julian,NC,US,2017-07-04,dozens,24,,24,,,Community Roots,Independence from Fossil Fuel; against Duke Energy,1,protest,0,0,0,0,1,1,http://wlos.com/news/local/demonstrators-rally-for-independence-from-fossil-fuels,,,,,,
Cheyenne,,WY,US,2017-07-06,dozens,24,,24,,,general protestors,Against GOP healthcare bill,1,protest,0,0,0,0,1,1,http://www.wyomingnews.com/news/local_news/dozens-protest-gop-health-care-reform-in-cheyenne/article_24f8a4a2-62dc-11e7-b542-3307a74aacd9.html,,,,,,
Guilford County,Lake Brandt Road,NC,US,2017-07-06,about two dozen,24,,24,,,general protestors,Oppose possible new commercial development,0,protest,0,0,0,0,1,1,http://myfox8.com/2017/07/06/neighbors-near-lake-brandt-protest-possible-commercial-development/,,,,,,
Leavenworth,Outside Leavenworth County Detention Center,KS,US,2017-07-06,several dozen,24,,24,,,general protestors,Protesting police shooting of man,0,protest,0,0,0,0,1,1,http://fox4kc.com/2017/07/13/concerned-loved-ones-push-for-answers-after-leavenworth-police-officer-shoots-and-kills-man/,,,,,,
Lexington,Sen. Mitch McConnel's office,KY,US,2017-07-06,few dozen,24,,24,,,general protestors,Against GOP healthcare,1,protest,0,0,0,0,1,1,http://abcnews.go.com/Politics/protesters-opposing-gop-health-care-bill-descend-lawmakers/story?id=48491443,,,,,,
Minneapolis,,MN,US,2017-07-06,a few dozen,24,,24,,,Defend Glendale,Oppose Minneapolis Public Housing's plans to privatize public housing and displace thousands of tenants,0,protest,,,,,1,1,http://www.startribune.com/minneapolis-public-housing-residents-rally-against-renovation-plans/432990643/,,,,,,
Fort Wayne,Allen County Courthouse Green,IN,US,2017-07-08,more than two dozen,24,,24,,,general protestors,Oppose ACA repeal,1,protest,0,0,0,0,1,1,http://www.journalgazette.net/article/20170708/ARTICLE/307089966,,,,,,
Williamstown,entrance to Ark Encounter,KY,US,2017-07-08,dozens; about 75,24,,75,,,Tri-State Freethinkers,"Oppose state tax incentives given to Ark Encounter, which requires park employees to sign a ""statement of faith""",0,protest,0,0,0,0,1,1,http://www.wymt.com/content/news/Atheists-protest-one-year-anniversary-of-Ark-Encounter-433345823.html,http://www.kentucky.com/news/local/counties/fayette-county/article160310614.html,,,,,
Minneola,downtown,FL,US,2017-07-09,dozens,24,,24,,,general protestors,rallying in support of hometown hero who was assaulted,0,rally,0,0,0,0,1,1,http://www.wpxi.com/news/trending-now/rally-supports-recently-attacked-superhero/555179525,,,,,,
Newark,corner of Central Avenue and 3rd Street,NJ,US,2017-07-09,dozens,24,,24,,,Newark Anti-Violence Coalition; People's Organization for Progress; Believe in Yourself,"Anti-violence, protesting shooting of 6-year-old boy",0,protest; rally,0,0,0,0,1,1,https://www.usnews.com/news/best-states/new-jersey/articles/2017-07-10/activists-protest-against-violence-after-6-year-old-shot,http://www.nj.com/essex/index.ssf/2017/07/anti-violence_rally_to_be_held_for_6-year-old_boy.html,http://www.nj.com/essex/index.ssf/2017/07/dozens_rally_against_violence_in_name_of_newark_bo.html,,,,
